country_iso3_code,country,country_id,year,leverage,cooks_distance,standardized_residual,flag_leverage,flag_cooks,flag_residual,model,dependent_value,leverage_cutoff,cooks_cutoff
SYC,Seychelles,SYC,2013,.092671883552625,.0056168445215059,-2.1873285268678,0,1,0,DIVX,.597104976222512,.1666666666666667,.0038314176245211
COG,Republic of the Congo,COG,2021,.1146771475775861,.0055249238725975,1.926349886954647,0,1,0,DIVX,.767229336051761,.1666666666666667,.0038314176245211
GMB,The Gambia,GMB,1998,.1235924759384455,.005516961362269,-1.84487365830855,0,1,0,DIVX,.578251566073782,.1666666666666667,.0038314176245211
GMB,The Gambia,GMB,2020,.0903397723637545,.0052532643538991,-2.145232469569841,0,1,0,DIVX,.622932956965318,.1666666666666667,.0038314176245211
SUR,Suriname,SUR,2013,.0875433981775418,.0052264158726096,2.176987908773395,0,1,0,DIVX,.766430207819896,.1666666666666667,.0038314176245211
COD,Democratic Republic of the Congo,COD,2002,.1189378739758631,.005211288297641,-1.83263238554051,0,1,0,DIVX,.518613451255083,.1666666666666667,.0038314176245211
IRN,Iran,IRN,2014,.088802894740585,.0051603528633643,2.146307436702551,0,1,0,DIVX,.725004613408133,.1666666666666667,.0038314176245211
GIN,Guinea,GIN,2013,.081518882909962,.0050316268781918,2.220853171389004,0,1,0,DIVX,.795282539016557,.1666666666666667,.0038314176245211
SYC,Seychelles,SYC,2004,.1014713470320663,.0049253364068107,1.947923191476756,0,1,0,DIVX,.850837732227234,.1666666666666667,.0038314176245211
JAM,Jamaica,JAM,2021,.0902234715475281,.0048727329344958,2.067538132640738,0,1,0,DIVX,.886497664320359,.1666666666666667,.0038314176245211
SUR,Suriname,SUR,2011,.097411607546718,.0048705967939897,1.981482460412356,0,1,0,DIVX,.712603344339647,.1666666666666667,.0038314176245211
SUR,Suriname,SUR,2014,.0848424217522457,.0047736340290347,2.116535701839109,0,1,0,DIVX,.785597159292149,.1666666666666667,.0038314176245211
ATG,Antigua and Barbuda,ATG,2008,.0796974841554769,.0047549787701754,2.185631373234708,0,1,0,DIVX,.861181164035421,.1666666666666667,.0038314176245211
QAT,Qatar,QAT,2021,.1220706599103867,.0047472894912421,-1.723481475012749,0,1,0,DIVX,.638339957979337,.1666666666666667,.0038314176245211
GIN,Guinea,GIN,2021,.0885838796548821,.0046941720145828,-2.049840788866245,0,1,0,DIVX,.529537524255453,.1666666666666667,.0038314176245211
SYC,Seychelles,SYC,2014,.0885032333144888,.0046832305910294,-2.048473711326293,0,1,0,DIVX,.601566998646373,.1666666666666667,.0038314176245211
COD,Democratic Republic of the Congo,COD,2019,.0932587558702709,.0045783780565977,-1.967942154097179,0,1,0,DIVX,.658831066231055,.1666666666666667,.0038314176245211
SYC,Seychelles,SYC,2012,.0819868948453646,.0045051330124993,-2.094911383195141,0,1,0,DIVX,.654431679317377,.1666666666666667,.0038314176245211
SUR,Suriname,SUR,2012,.0960779602591728,.0044724377810239,1.913310173250155,0,1,0,DIVX,.7364912551746839,.1666666666666667,.0038314176245211
JAM,Jamaica,JAM,2005,.0699401347219961,.0044604962976788,-2.271660557614688,0,1,0,DIVX,.553788822497091,.1666666666666667,.0038314176245211
LBR,Liberia,LBR,2006,.0768655199847501,.0044475537121948,-2.155693085568225,0,1,0,DIVX,.53352210944668,.1666666666666667,.0038314176245211
SUR,Suriname,SUR,2004,.1064615831994322,.0044115592774596,-1.79479908882167,0,1,0,DIVX,.630349356045706,.1666666666666667,.0038314176245211
GMB,The Gambia,GMB,2017,.0857052459681658,.0044094269596954,-2.022973128443122,0,1,0,DIVX,.723484751028608,.1666666666666667,.0038314176245211
ZMB,Zambia,ZMB,1996,.0906281527222657,.0042286468285936,-1.921319198279834,0,1,0,DIVX,.607435709104781,.1666666666666667,.0038314176245211
SYC,Seychelles,SYC,2007,.1034257283889266,.0041888003646239,1.777392321305629,0,1,0,DIVX,.832133520603641,.1666666666666667,.0038314176245211
LBR,Liberia,LBR,2012,.0865427278292206,.0041100634684644,1.942731219466992,0,1,0,DIVX,.8800033890196211,.1666666666666667,.0038314176245211
AGO,Angola,AGO,2000,.1680712736816083,.0039915659765881,1.31107518372985,1,1,0,DIVX,.209185116068919,.1666666666666667,.0038314176245211
COG,Republic of the Congo,COG,2006,.0933069837659106,.003855087408368,-1.805301741130768,0,1,0,DIVX,.226485906423585,.1666666666666667,.0038314176245211
KWT,Kuwait,KWT,2020,.1798288622154276,.002254954076012,-.9459126205102115,1,0,0,DIVX,.472894853743573,.1666666666666667,.0038314176245211
GUY,Guyana,GUY,2020,.2067155940786476,.0000364594661325,-.1103297457830623,1,0,0,DIVX,.722294521505139,.1666666666666667,.0038314176245211
IRQ,Iraq,IRQ,2004,.1577311041828526,.0575051481536458,5.198300832519744,0,1,1,ECI,-.33945358,.1685823754789272,.0038314176245211
COD,Democratic Republic of the Congo,COD,2011,.081613471519721,.0361481659524365,5.982962714417419,0,1,1,ECI,-.25823492,.1685823754789272,.0038314176245211
BRN,Brunei,BRN,2005,.0835338094134261,.0308708982643775,-5.459376547833359,0,1,1,ECI,-1.5974941,.1685823754789272,.0038314176245211
CAF,Central African Republic,CAF,2014,.0824094353023508,.0294794739848454,5.374489287006302,0,1,1,ECI,.8073048,.1685823754789272,.0038314176245211
AGO,Angola,AGO,2000,.1695655447126256,.0246936645180792,-3.26225558443925,1,1,1,ECI,-2.299502,.1685823754789272,.0038314176245211
BRN,Brunei,BRN,2000,.1049753050687485,.0222574400706209,-4.086512943567779,0,1,1,ECI,-1.3063198,.1685823754789272,.0038314176245211
CMR,Cameroon,CMR,1998,.092813651659287,.0195884946537608,-4.104726171707474,0,1,1,ECI,-2.2013767,.1685823754789272,.0038314176245211
IRQ,Iraq,IRQ,2009,.0892814790624588,.0176522886150963,3.980643110106092,0,1,1,ECI,-.559676,.1685823754789272,.0038314176245211
VNM,Vietnam,VNM,1996,.1276251452303763,.0169892108731019,-3.196769951877503,0,1,1,ECI,-.85668755,.1685823754789272,.0038314176245211
GUY,Guyana,GUY,2021,.2511774244596658,.0157019386265883,2.029631230624923,1,1,0,ECI,-1.1006831,.1685823754789272,.0038314176245211
MRT,Mauritania,MRT,2014,.0951676269695119,.0134729009129188,3.35746380159046,0,1,1,ECI,-1.0154322,.1685823754789272,.0038314176245211
BRN,Brunei,BRN,2002,.0963150411959868,.0134516738098968,-3.332659696578858,0,1,1,ECI,-.9969612,.1685823754789272,.0038314176245211
IRQ,Iraq,IRQ,2005,.1343110438165471,.0127824491683788,2.692609970899052,0,1,0,ECI,-.9537908,.1685823754789272,.0038314176245211
VNM,Vietnam,VNM,1998,.1163427639971202,.0127389645144876,-2.917968709110817,0,1,0,ECI,-.7686982,.1685823754789272,.0038314176245211
COG,Republic of the Congo,COG,2011,.0885342837232841,.0123784149029046,3.348792849481881,0,1,1,ECI,-.81586707,.1685823754789272,.0038314176245211
AGO,Angola,AGO,2014,.0883677116024995,.0123040300170962,-3.342166426048157,0,1,1,ECI,-2.1328814,.1685823754789272,.0038314176245211
IRQ,Iraq,IRQ,2014,.0822920373557743,.0112911316479289,-3.328767129547991,0,1,1,ECI,-2.472654,.1685823754789272,.0038314176245211
CAF,Central African Republic,CAF,1996,.1114090280906384,.0108684521999165,-2.761950821418729,0,1,0,ECI,-1.2465459,.1685823754789272,.0038314176245211
IRQ,Iraq,IRQ,2020,.1265075803490001,.0105808553737744,2.535554914021443,0,1,0,ECI,-.8932634,.1685823754789272,.0038314176245211
