model,excluded_country_id,excluded_country_iso3,term,base_coefficient,coefficient,standard_error,p_value,observations,countries
DIVX,40,PER,rents_oil_gas,-0.0048488000,-0.0048067579,0.0014086732,0.0013343099,1021,48
DIVX,42,QAT,rents_oil_gas,-0.0048488000,-0.0056437212,0.0014222269,0.0002461952,1021,48
DIVX,43,RUS,rents_oil_gas,-0.0048488000,-0.0048801303,0.0013818386,0.0009373722,1024,48
DIVX,44,SAU,rents_oil_gas,-0.0048488000,-0.0042527947,0.0013315289,0.0025063769,1025,48
DIVX,46,SUR,rents_oil_gas,-0.0048488000,-0.0049269977,0.0014268932,0.0011837378,1028,48
DIVX,47,SYC,rents_oil_gas,-0.0048488000,-0.0050322413,0.0013978446,0.0007637691,1024,48
DIVX,48,SYR,rents_oil_gas,-0.0048488000,-0.0048750211,0.0013890216,0.0010006592,1031,48
DIVX,49,TGO,rents_oil_gas,-0.0048488000,-0.0048213028,0.0013870299,0.0011058357,1021,48
DIVX,50,TTO,rents_oil_gas,-0.0048488000,-0.0049600713,0.0014204172,0.0010546595,1021,48
DIVX,52,VNM,rents_oil_gas,-0.0048488000,-0.0049380017,0.0013976610,0.0009333955,1021,48
DIVX,54,ZAF,rents_oil_gas,-0.0048488000,-0.0048120683,0.0014041460,0.0012776159,1021,48
DIVX,55,ZMB,rents_oil_gas,-0.0048488000,-0.0046836319,0.0013978196,0.0015973076,1021,48
ECI,1,AGO,c.rents_mining#c.inst,-0.0021268324,-0.0016794608,0.0042808913,0.6965984702,1023,48
ECI,2,ALB,c.rents_mining#c.inst,-0.0021268324,-0.0021440268,0.0043438068,0.6238998175,1021,48
ECI,3,ARE,c.rents_mining#c.inst,-0.0021268324,-0.0021067143,0.0043209912,0.6281327009,1021,48
ECI,4,ATG,c.rents_mining#c.inst,-0.0021268324,-0.0024531041,0.0042628595,0.5677254796,1023,48
ECI,5,AUS,c.rents_mining#c.inst,-0.0021268324,-0.0012384180,0.0047291005,0.7945646048,1024,48
ECI,6,BDI,c.rents_mining#c.inst,-0.0021268324,-0.0018748413,0.0043304865,0.6670386195,1021,48
ECI,7,BHR,c.rents_mining#c.inst,-0.0021268324,-0.0020765318,0.0041931607,0.6227531433,1027,48
ECI,8,BOL,c.rents_mining#c.inst,-0.0021268324,-0.0023017065,0.0041850051,0.5849313140,1021,48
ECI,9,BRN,c.rents_mining#c.inst,-0.0021268324,-0.0016174932,0.0043669180,0.7127507925,1023,48
ECI,10,CAF,c.rents_mining#c.inst,-0.0021268324,-0.0032091320,0.0042731375,0.4563957155,1023,48
ECI,11,CHL,c.rents_mining#c.inst,-0.0021268324,-0.0060444763,0.0064125247,0.3507032990,1021,48
ECI,12,CMR,c.rents_mining#c.inst,-0.0021268324,-0.0019045437,0.0043611228,0.6643218398,1024,48
ECI,13,COD,c.rents_mining#c.inst,-0.0021268324,0.0017763523,0.0040226532,0.6608129740,1026,48
ECI,14,COG,c.rents_mining#c.inst,-0.0021268324,-0.0019412778,0.0042818380,0.6523651481,1023,48
ECI,15,COL,c.rents_mining#c.inst,-0.0021268324,-0.0022108157,0.0043999637,0.6176885962,1021,48
ECI,16,DZA,c.rents_mining#c.inst,-0.0021268324,-0.0018649586,0.0041464833,0.6549447775,1021,48
ECI,17,ECU,c.rents_mining#c.inst,-0.0021268324,-0.0019227678,0.0042173243,0.6505462527,1021,48
ECI,18,EGY,c.rents_mining#c.inst,-0.0021268324,-0.0019195138,0.0042763450,0.6555898786,1021,48
