model,variable,horizon,beta,se,t_stat,p_val,ci_low,ci_high
DIVX,fin,1,.0002000870108856,.0001778535612286,1.125009864876547,.2661790545235192,-.0001575115410879,.0005576855628591
DIVX,rents,2,-.0001451181027332,.0006939219318074,-.2091274192115864,.8352337755358045,-.0015403416579029,.0012501054524365
DIVX,inst,2,.0396064321705788,.0274692846680495,1.441844323549002,.155839408506524,-.015624266350076,.0948371306912336
DIVX,rents_x_inst,2,.0004813986427203,.0007375296643573,.65271766816295,.5170523833291473,-.0010015041352154,.001964301420656
DIVX,log_oilpc,2,.0085350079482781,.0065122651492127,1.310605104785996,.1962277083669235,-.0045587787115939,.0216287946081501
DIVX,log_gaspc,2,.0169878713541234,.0070472504427201,2.410567283254718,.0198067056646207,.0028184246683076,.0311573180399392
DIVX,log_coalpc,2,-.0104022944277051,.0066173752920955,-1.571966824993395,.1225274369270811,-.0237074191942361,.0029028303388259
DIVX,hhi,2,-.5223091303028898,.0506448493462525,-10.31317373918772,9.14000668938e-14,-.6241374246931081,-.4204808359126717
DIVX,pexp,2,.0002906734779056,.0003695810376715,.7864945662173379,.4354436812737561,-.0004524190021955,.0010337659580067
DIVX,fexp,2,-.000340746000458,.000399647137835,-.8526171419715806,.3981060904721158,-.0011442904265741,.0004627984256581
DIVX,vol,2,-.0004548920309817,.000785353341332,-.5792195780439152,.5651495744176416,-.0020339507560801,.0011241666941167
DIVX,rer,2,-.0018337636634629,.0263314573504547,-.0696415560694833,.9447682879193839,-.0547767070311872,.0511091797042614
DIVX,humcap,2,.0586551077100739,.034607644663248,1.694859857722805,.0965811373238405,-.0109282255293613,.1282384409495091
DIVX,innov,2,.0254713473293301,.0160960059618159,1.582463835423213,.1201112550494083,-.0068918417164238,.057834536375084
DIVX,net,2,.0000492694474112,.000332008874711,.1483979831987534,.8826503706695621,-.0006182791359224,.0007168180307448
DIVX,log_gdppc,2,-.1211709735593034,.0288439425739793,-4.200915781485925,.0001147401427623,-.1791656070454636,-.0631763400731432
DIVX,govcons,2,.0004307587989036,.0016793546812854,.2565025742947235,.7986590170458856,-.0029458100936678,.003807327691475
DIVX,fin,2,.0002941541084244,.0003351428768,.877697629241094,.3844799810448438,-.0003796958084399,.0009680040252887
DIVX,rents,3,-.0014348725267752,.0007286245880943,-1.969289192570449,.0547067187410743,-.0028998704488572,.0000301253953068
DIVX,inst,3,.0179085665507148,.0371794011291787,.4816798013634493,.6322223411255407,-.0568456296272656,.0926627627286952
DIVX,rents_x_inst,3,.0008049132419961,.0009151268995853,.8795646181538926,.3834775533091077,-.001035072709947,.0026448991939392
DIVX,log_oilpc,3,.0158048595161555,.0062393603259166,2.533089722436197,.0146284148732038,.0032597847795259,.0283499342527851
DIVX,log_gaspc,3,.0233089324783989,.0103808254969414,2.245383325754453,.0293853378314056,.0024368839214167,.0441809810353811
DIVX,log_coalpc,3,-.0182419559921668,.0082404748203113,-2.213702048722197,.0316346392999001,-.034810541085212,-.0016733708991216
DIVX,hhi,3,-.3580526284380057,.060223384937391,-5.945408561977076,3.03760724329e-07,-.4791398594149078,-.2369653974611037
