model,method,result_type,term,support_point,support_value,estimate,standard_error,p_value,ci_lower,ci_upper,reference_estimate,reference_p_value,estimate_min,estimate_max,p_value_at_min_estimate,p_value_at_max_estimate,sign_stable,observations,countries,repetitions,excluded_observations,sample_changed,inference_method,hierarchy,comparable_to_main,source_file,source_fields,interpretation_scope,significance_selected
ECI,MAIN_TWFE,COEFFICIENT,RENTS x INST,FULL_SAMPLE,,-0.005199,0.003453,0.138759,-0.012142,0.001744,,,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,MAIN,1,03_eci/eci_twfe_coefficients.csv,coefficient; standard_error; p_value; ci_lower; ci_upper,Coeficiente focal del M3 principal en la muestra común.,0
ECI,MARGINAL_EFFECTS,MARGINAL_EFFECT,dY/dRENTS,P10,-1.239373,-0.003352,0.004422,0.448359,-0.012019,0.005314,,,,,,,,1044,49,,0,0,DELTA_METHOD_CLUSTER,SENSITIVITY,0,05_stability/rents_marginal_effects_by_inst.csv,institutional_percentile; inst_value; marginal_effect; standard_error; p_value; ci_lower; ci_upper,Efecto marginal dentro del soporte observado de INST; no es el coeficiente aislado de RENTS.,0
ECI,MARGINAL_EFFECTS,MARGINAL_EFFECT,dY/dRENTS,P25,-0.878468,-0.005229,0.003895,0.179442,-0.012862,0.002405,,,,,,,,1044,49,,0,0,DELTA_METHOD_CLUSTER,SENSITIVITY,0,05_stability/rents_marginal_effects_by_inst.csv,institutional_percentile; inst_value; marginal_effect; standard_error; p_value; ci_lower; ci_upper,Efecto marginal dentro del soporte observado de INST; no es el coeficiente aislado de RENTS.,0
ECI,MARGINAL_EFFECTS,MARGINAL_EFFECT,dY/dRENTS,P50,-0.391606,-0.007760,0.003765,0.039323,-0.015140,-0.000380,,,,,,,,1044,49,,0,0,DELTA_METHOD_CLUSTER,SENSITIVITY,0,05_stability/rents_marginal_effects_by_inst.csv,institutional_percentile; inst_value; marginal_effect; standard_error; p_value; ci_lower; ci_upper,Efecto marginal dentro del soporte observado de INST; no es el coeficiente aislado de RENTS.,0
ECI,MARGINAL_EFFECTS,MARGINAL_EFFECT,dY/dRENTS,P75,0.141341,-0.010530,0.004424,0.017307,-0.019202,-0.001859,,,,,,,,1044,49,,0,0,DELTA_METHOD_CLUSTER,SENSITIVITY,0,05_stability/rents_marginal_effects_by_inst.csv,institutional_percentile; inst_value; marginal_effect; standard_error; p_value; ci_lower; ci_upper,Efecto marginal dentro del soporte observado de INST; no es el coeficiente aislado de RENTS.,0
ECI,MARGINAL_EFFECTS,MARGINAL_EFFECT,dY/dRENTS,P90,0.915454,-0.014555,0.006283,0.020532,-0.026869,-0.002240,,,,,,,,1044,49,,0,0,DELTA_METHOD_CLUSTER,SENSITIVITY,0,05_stability/rents_marginal_effects_by_inst.csv,institutional_percentile; inst_value; marginal_effect; standard_error; p_value; ci_lower; ci_upper,Efecto marginal dentro del soporte observado de INST; no es el coeficiente aislado de RENTS.,0
ECI,REGIME_2014,COEFFICIENT_CHANGE,INST,CHANGE_FROM_2014,2014.000000,-0.030752,0.050649,0.546615,-0.132589,0.071086,0.000000,,,,,,,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,change_from_2014; change_standard_error; change_p_value; change_ci_lower; change_ci_upper,Cambio desde 2014 respecto del periodo previo; su nulo es cambio igual a cero.,0
ECI,REGIME_2014,COEFFICIENT_CHANGE,RENTS,CHANGE_FROM_2014,2014.000000,-0.000441,0.004277,0.918232,-0.009041,0.008159,0.000000,,,,,,,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,change_from_2014; change_standard_error; change_p_value; change_ci_lower; change_ci_upper,Cambio desde 2014 respecto del periodo previo; su nulo es cambio igual a cero.,0
ECI,REGIME_2014,COEFFICIENT_CHANGE,RENTS x INST,CHANGE_FROM_2014,2014.000000,0.004635,0.004542,0.312612,-0.004497,0.013767,0.000000,,,,,,,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,change_from_2014; change_standard_error; change_p_value; change_ci_lower; change_ci_upper,Cambio desde 2014 respecto del periodo previo; su nulo es cambio igual a cero.,0
ECI,REGIME_2014,PERIOD_COEFFICIENT,INST,FROM_2014,2014.000000,0.223544,0.131079,0.094582,-0.040008,0.487096,,,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,post_coefficient; post_standard_error; post_p_value; post_ci_lower; post_ci_upper,Coeficiente desde 2014; no equivale al coeficiente promedio del M3.,0
ECI,REGIME_2014,PERIOD_COEFFICIENT,INST,PRE_2014,2014.000000,0.254296,0.125303,0.047977,0.002357,0.506234,,,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,pre_coefficient; pre_standard_error; pre_p_value; pre_ci_lower; pre_ci_upper,Coeficiente previo al corte externo; no equivale al coeficiente promedio del M3.,0
ECI,REGIME_2014,PERIOD_COEFFICIENT,RENTS,FROM_2014,2014.000000,-0.010105,0.003949,0.013718,-0.018045,-0.002164,,,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,post_coefficient; post_standard_error; post_p_value; post_ci_lower; post_ci_upper,Coeficiente desde 2014; no equivale al coeficiente promedio del M3.,0
ECI,REGIME_2014,PERIOD_COEFFICIENT,RENTS,PRE_2014,2014.000000,-0.009663,0.003618,0.010307,-0.016939,-0.002388,,,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,pre_coefficient; pre_standard_error; pre_p_value; pre_ci_lower; pre_ci_upper,Coeficiente previo al corte externo; no equivale al coeficiente promedio del M3.,0
ECI,REGIME_2014,PERIOD_COEFFICIENT,RENTS x INST,FROM_2014,2014.000000,0.000059,0.004745,0.990207,-0.009482,0.009599,,,,,,,0,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,post_coefficient; post_standard_error; post_p_value; post_ci_lower; post_ci_upper,Coeficiente desde 2014; no equivale al coeficiente promedio del M3.,0
ECI,REGIME_2014,PERIOD_COEFFICIENT,RENTS x INST,PRE_2014,2014.000000,-0.004576,0.002906,0.121878,-0.010419,0.001267,,,,,,,0,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,pre_coefficient; pre_standard_error; pre_p_value; pre_ci_lower; pre_ci_upper,Coeficiente previo al corte externo; no equivale al coeficiente promedio del M3.,0
ECI,WILD_CLUSTER_BOOTSTRAP,ALTERNATE_INFERENCE,INST,FULL_SAMPLE,,0.266705,,0.090609,-0.039758,0.586519,0.266705,0.056955,,,,,1,1044,49,9999,0,0,WILD_CLUSTER_BOOTSTRAP,SENSITIVITY,1,05_stability/wild_cluster_bootstrap.csv,coefficient; conventional_p; bootstrap_p; ci_lower; ci_upper; repetitions; seed,Mismo coeficiente del M3 con inferencia wild cluster bootstrap.,0
ECI,WILD_CLUSTER_BOOTSTRAP,ALTERNATE_INFERENCE,RENTS,FULL_SAMPLE,,-0.009795,,0.040104,-0.019705,-0.000408,-0.009795,0.023337,,,,,1,1044,49,9999,0,0,WILD_CLUSTER_BOOTSTRAP,SENSITIVITY,1,05_stability/wild_cluster_bootstrap.csv,coefficient; conventional_p; bootstrap_p; ci_lower; ci_upper; repetitions; seed,Mismo coeficiente del M3 con inferencia wild cluster bootstrap.,0
ECI,WILD_CLUSTER_BOOTSTRAP,ALTERNATE_INFERENCE,RENTS x INST,FULL_SAMPLE,,-0.005199,,0.209121,-0.013382,0.002985,-0.005199,0.138759,,,,,1,1044,49,9999,0,0,WILD_CLUSTER_BOOTSTRAP,SENSITIVITY,1,05_stability/wild_cluster_bootstrap.csv,coefficient; conventional_p; bootstrap_p; ci_lower; ci_upper; repetitions; seed,Mismo coeficiente del M3 con inferencia wild cluster bootstrap.,0
