country_iso3_code,country,country_id,year,leverage,cooks_distance,standardized_residual,flag_leverage,flag_cooks,flag_residual,model,dependent_value,leverage_cutoff,cooks_cutoff
SYC,Seychelles,SYC,2004,.1019176693288921,.0046828281712617,1.916383613560273,0,1,0,DIVX,.850837732227234,.1704980842911877,.0038314176245211
SYC,Seychelles,SYC,2014,.088875728589751,.0046767794568824,-2.065692484531976,0,1,0,DIVX,.601566998646373,.1704980842911877,.0038314176245211
ATG,Antigua and Barbuda,ATG,2008,.0797319935799319,.0046635484651322,2.188739627197798,0,1,0,DIVX,.861181164035421,.1704980842911877,.0038314176245211
MRT,Mauritania,MRT,2005,.1319819853751545,.0046341771184295,-1.646980124879293,0,1,0,DIVX,.73747124827878,.1704980842911877,.0038314176245211
SYC,Seychelles,SYC,2012,.0821104920644125,.0043278425106545,-2.075040621621772,0,1,0,DIVX,.654431679317377,.1704980842911877,.0038314176245211
LBR,Liberia,LBR,2006,.0769022189412532,.0043201695939349,-2.148324193114902,0,1,0,DIVX,.53352210944668,.1704980842911877,.0038314176245211
QAT,Qatar,QAT,2021,.1233828670576225,.0042720540743018,-1.643580281474316,0,1,0,DIVX,.638339957979337,.1704980842911877,.0038314176245211
COD,Democratic Republic of the Congo,COD,2007,.0827924788511423,.004250357838824,2.047133246727614,0,1,0,DIVX,.872687373174452,.1704980842911877,.0038314176245211
GMB,The Gambia,GMB,2017,.0859536549845128,.004142270844738,-1.980004526705307,0,1,0,DIVX,.723484751028608,.1704980842911877,.0038314176245211
COD,Democratic Republic of the Congo,COD,2002,.1240424198031507,.0041295361728444,-1.611024196797258,0,1,0,DIVX,.518613451255083,.1704980842911877,.0038314176245211
COD,Democratic Republic of the Congo,COD,2019,.0941093610195285,.0041060731795288,-1.8755550662327,0,1,0,DIVX,.658831066231055,.1704980842911877,.0038314176245211
IRQ,Iraq,IRQ,2009,.0877805123572344,.0040991976279737,-1.94713045176518,0,1,0,DIVX,.036232105607924,.1704980842911877,.0038314176245211
SUR,Suriname,SUR,2008,.0910417930218141,.0040315790257202,1.892710312190707,0,1,0,DIVX,.802027936000352,.1704980842911877,.0038314176245211
IRQ,Iraq,IRQ,2005,.1444105216363569,.0039880512766043,1.450135783675197,0,1,0,DIVX,.0726252129573923,.1704980842911877,.0038314176245211
SYC,Seychelles,SYC,2007,.1038629973944287,.0039818716616189,1.748619880597504,0,1,0,DIVX,.832133520603641,.1704980842911877,.0038314176245211
GAB,Gabon,GAB,2003,.0799345840630794,.0039617349474249,-2.014557673582766,0,1,0,DIVX,.311779901112603,.1704980842911877,.0038314176245211
NGA,Nigeria,NGA,2011,.070068749028378,.0039388930558182,2.156976122300968,0,1,0,DIVX,.477829011438242,.1704980842911877,.0038314176245211
IRQ,Iraq,IRQ,2010,.0795280654785131,.0038983826040124,-2.003928860341607,0,1,0,DIVX,.0178501854812518,.1704980842911877,.0038314176245211
KWT,Kuwait,KWT,2020,.189478714993542,.0035473590108159,-1.162116244175851,1,0,0,DIVX,.472894853743573,.1704980842911877,.0038314176245211
CHL,Chile,CHL,2006,.1728348779596072,.0003552728073058,-.3890060900512465,1,0,0,DIVX,.829805690234718,.1704980842911877,.0038314176245211
GUY,Guyana,GUY,2020,.208312029061501,.0000114136255919,.0621336208365738,1,0,0,DIVX,.722294521505139,.1704980842911877,.0038314176245211
IRQ,Iraq,IRQ,2004,.1672098754521354,.0558834377158053,5.004948735057488,0,1,1,ECI,-.33945358,.1724137931034483,.0038314176245211
COD,Democratic Republic of the Congo,COD,2011,.0860002205303916,.0391661889703982,6.120687058310919,0,1,1,ECI,-.25823492,.1724137931034483,.0038314176245211
AGO,Angola,AGO,2000,.1871156431195082,.0336306422095405,-3.626170076863338,1,1,1,ECI,-2.299502,.1724137931034483,.0038314176245211
